"ftype","Description","MS_sqmi","MS_acres","MSEP_sqmi","MSEP_acres","MSGT25_sqmi","MSGT25_acres","MSEPGT25_sqmi","MSEPGT25_acres"
"LakePond","Lake/Pond: Intermittent",6.00570777865602,3843.63760374332,0.110316543629582,70.6023055128632,3.20328318544337,2050.093038287,,
"LakePond","Lake/Pond: Intermittent; High Water Elevation",0.0274408233450044,17.5620566923653,,,,,,
"LakePond","Lake/Pond: Perennial",267.924372310313,171470.912392893,84.5040253883526,54082.359918457,171.056476018829,109475.70674791,48.1958528641359,30845.222451787
"LakePond","Lake/Pond: Perennial; Average Water Elevation",174.453073905537,111649.520700121,43.3228175963466,27726.4923553597,174.453073905537,111649.520700121,43.3228175963466,27726.4923553597
"LakePond","Lake/Pond: Perennial; Normal Pool",0.0148898632771042,9.52947437933481,0.0148898632771042,9.52947437933481,,,,
"Reservoir","Reservoir: Aquaculture",41.053985218813,26274.4454419432,0.714776142605118,457.45490144218,39.77570671558,25456.3504722638,0.493933470046922,316.116156361611
"Reservoir","Reservoir: Disposal",0.466064720610831,298.28022806644,,,0.315589144356639,201.976244480847,,
"Reservoir","Reservoir: Water Storage",0.920475555673841,589.101999216192,,,0.920475555673841,589.101999216192,,
"Reservoir","Reservoir; Treatment",3.27568462193011,2096.42977229102,1.48026843048702,947.368006028303,1.75423482819874,1122.70579921053,0.720538319186518,461.142679703119
"SwampMarsh","Swamp/Marsh",451.305033810349,288834.066298892,246.575541115337,157807.715081062,447.932007798674,286675.338286358,243.444582921341,155803.909852149
